Time	Type	Process
3.9268579373214605	arrival	<__main__.Process object at 0x0000014F51CFD510>
3.9268579373214605	departure	<__main__.Process object at 0x0000014F51CF77D0>
3.9297041592260022	swapping	<__main__.Process object at 0x0000014F51CF77D0>
3.9297041592260022	arrival	<__main__.Process object at 0x0000014F51CFD610>
3.9297041592260022	departure	<__main__.Process object at 0x0000014F51CF77D0>
3.9644455274717054	swapping	<__main__.Process object at 0x0000014F51CF77D0>
3.9644455274717054	arrival	<__main__.Process object at 0x0000014F51CFD710>
3.9644455274717054	departure	<__main__.Process object at 0x0000014F51CF77D0>
3.9668214819237946	arrival	<__main__.Process object at 0x0000014F51CFD7D0>
3.9668214819237946	departure	<__main__.Process object at 0x0000014F51CF7A50>
3.9754944011873836	arrival	<__main__.Process object at 0x0000014F51CFD890>
3.9754944011873836	departure	<__main__.Process object at 0x0000014F51CF7890>
4.036098000083761	arrival	<__main__.Process object at 0x0000014F51CFD950>
4.036098000083761	departure	<__main__.Process object at 0x0000014F51CF7990>
4.108852389449162	arrival	<__main__.Process object at 0x0000014F51CFDA10>
4.121613550755317	arrival	<__main__.Process object at 0x0000014F51CFDA90>
4.121613550755317	departure	<__main__.Process object at 0x0000014F51CF7B50>
4.124605955953565	arrival	<__main__.Process object at 0x0000014F51CFDB50>
4.271352916299499	arrival	<__main__.Process object at 0x0000014F51CFDBD0>
4.271352916299499	departure	<__main__.Process object at 0x0000014F51CF7C10>
4.290780643175641	arrival	<__main__.Process object at 0x0000014F51CFDC90>
4.532436087118126	arrival	<__main__.Process object at 0x0000014F51CFDD10>
4.532436087118126	departure	<__main__.Process object at 0x0000014F51CF7CD0>
4.609254178523148	arrival	<__main__.Process object at 0x0000014F51CFDDD0>
4.67849963871843	arrival	<__main__.Process object at 0x0000014F51CFDE50>
4.67849963871843	departure	<__main__.Process object at 0x0000014F51CF7D50>
4.6846610845923315	arrival	<__main__.Process object at 0x0000014F51CFDF10>
4.729446770222951	arrival	<__main__.Process object at 0x0000014F51CFDF90>
4.729446770222951	departure	<__main__.Process object at 0x0000014F51CF7E50>
4.813978219580867	swapping	<__main__.Process object at 0x0000014F51CF7E50>
4.813978219580867	arrival	<__main__.Process object at 0x0000014F51CFE090>
4.813978219580867	departure	<__main__.Process object at 0x0000014F51CF7E50>
4.838149738651862	arrival	<__main__.Process object at 0x0000014F51CFE150>
4.838149738651862	departure	<__main__.Process object at 0x0000014F51CF7F10>
4.898955094601994	swapping	<__main__.Process object at 0x0000014F51CF7F10>
4.898955094601994	arrival	<__main__.Process object at 0x0000014F51CFE250>
4.898955094601994	departure	<__main__.Process object at 0x0000014F51CF7F10>
4.904896113488268	arrival	<__main__.Process object at 0x0000014F51CFE310>
4.904896113488268	departure	<__main__.Process object at 0x0000014F51CF7FD0>
4.924732159021374	arrival	<__main__.Process object at 0x0000014F51CFE3D0>
5.075006592771717	arrival	<__main__.Process object at 0x0000014F51CFE450>
5.075006592771717	departure	<__main__.Process object at 0x0000014F51CFC090>
5.084513265128946	swapping	<__main__.Process object at 0x0000014F51CFC090>
5.084513265128946	arrival	<__main__.Process object at 0x0000014F51CFE550>
5.084513265128946	departure	<__main__.Process object at 0x0000014F51CFC150>
5.097125046180074	swapping	<__main__.Process object at 0x0000014F51CFC150>
5.097125046180074	arrival	<__main__.Process object at 0x0000014F51CFE650>
5.097125046180074	departure	<__main__.Process object at 0x0000014F51CFC150>
5.097142856419636	arrival	<__main__.Process object at 0x0000014F51CFE710>
5.097142856419636	departure	<__main__.Process object at 0x0000014F51CFC1D0>
5.130273076170338	arrival	<__main__.Process object at 0x0000014F51CFE7D0>
5.130273076170338	departure	<__main__.Process object at 0x0000014F51CFC090>
5.154722446645521	swapping	<__main__.Process object at 0x0000014F51CFC090>
5.154722446645521	arrival	<__main__.Process object at 0x0000014F51CFE8D0>
5.154722446645521	departure	<__main__.Process object at 0x0000014F51CFC090>
5.174656628512251	arrival	<__main__.Process object at 0x0000014F51CFE990>
5.174656628512251	departure	<__main__.Process object at 0x0000014F51CFC290>
5.217515741135278	swapping	<__main__.Process object at 0x0000014F51CFC290>
5.217515741135278	arrival	<__main__.Process object at 0x0000014F51CFEA90>
5.217515741135278	departure	<__main__.Process object at 0x0000014F51CFC290>
5.221824933895291	swapping	<__main__.Process object at 0x0000014F51CFC290>
5.221824933895291	arrival	<__main__.Process object at 0x0000014F51CFEB90>
5.221824933895291	departure	<__main__.Process object at 0x0000014F51CFC3D0>
5.223600162384227	arrival	<__main__.Process object at 0x0000014F51CFEC50>
5.223600162384227	departure	<__main__.Process object at 0x0000014F51CFC290>
5.226590305049263	arrival	<__main__.Process object at 0x0000014F51CFED10>
5.226590305049263	departure	<__main__.Process object at 0x0000014F51CFC310>
5.239524764408984	arrival	<__main__.Process object at 0x0000014F51CFEDD0>
5.249540522833116	arrival	<__main__.Process object at 0x0000014F51CFEE50>
5.249540522833116	departure	<__main__.Process object at 0x0000014F51CFC450>
5.270930196187865	arrival	<__main__.Process object at 0x0000014F51CFEF10>
5.270938630075262	arrival	<__main__.Process object at 0x0000014F51CFEF90>
5.270938630075262	departure	<__main__.Process object at 0x0000014F51CFC510>
5.2936142427023825	arrival	<__main__.Process object at 0x0000014F51CFF050>
5.297300532137221	arrival	<__main__.Process object at 0x0000014F51CFF0D0>
5.297300532137221	departure	<__main__.Process object at 0x0000014F51CFC590>
5.3191359208752065	swapping	<__main__.Process object at 0x0000014F51CFC590>
5.3191359208752065	arrival	<__main__.Process object at 0x0000014F51CFF1D0>
5.3191359208752065	departure	<__main__.Process object at 0x0000014F51CFC590>
5.3200697407652005	arrival	<__main__.Process object at 0x0000014F51CFF290>
5.3200697407652005	departure	<__main__.Process object at 0x0000014F51CFC650>
5.328064802319948	arrival	<__main__.Process object at 0x0000014F51CFF350>
5.489548364944844	arrival	<__main__.Process object at 0x0000014F51CFF3D0>
5.489548364944844	departure	<__main__.Process object at 0x0000014F51CFC6D0>
5.601786365191519	swapping	<__main__.Process object at 0x0000014F51CFC6D0>
5.601786365191519	arrival	<__main__.Process object at 0x0000014F51CFF4D0>
5.601786365191519	departure	<__main__.Process object at 0x0000014F51CFC6D0>
5.637085783657675	arrival	<__main__.Process object at 0x0000014F51CFF590>
5.637085783657675	departure	<__main__.Process object at 0x0000014F51CFC790>
